SeqNo,pm_name,pm_Longitude,pm_Latitude,pm_unit,pm_location
696,文山木柵59號公園,121.5825805700,24.9852600100,南港公園管理所,台北市指南路二段225巷旁
861,文山森林公園,121.5483220000,25.0043500000,南港公園管理所,臺北市文山區福興路95巷
348,木南公園,121.5708389300,24.9865303040,南港公園管理所,木新路2段43巷1號旁
331,木柵公園,121.5604629500,24.9869499210,南港公園管理所,文山區興隆路4段50號
485,木新公園,121.5580368000,24.9822196960,南港公園管理所,木新路3段278巷7弄11號對面
693,木榮公園,121.5686569200,24.9846401210,南港公園管理所,保儀路129號(景文高中後門邊)
564,水景公園,121.5868377700,24.9869804380,南港公園管理所,政大一街與政大二街間
578,仙岩公園,121.5493621800,24.9979705810,南港公園管理所,仙岩路16巷36號
500,光明公園,121.5547103900,24.9864692690,南港公園管理所,下崙路與光輝路口
781,光輝公園,121.5558395400,24.9861202240,南港公園管理所,光輝路9-1號前
859,辛亥生態公園,121.5567640000,25.0036850000,南港公園管理所,辛亥路四段至興德路間
561,坡內坑公園,121.5765533400,25.0049705510,南港公園管理所,木柵路四段159巷內
399,忠順公園,121.5611419700,24.9831409450,南港公園管理所,興隆路4段96巷底
403,忠順萊茵公園,121.5653686500,24.9867801670,南港公園管理所,興隆路四段109巷旁
567,明義公園,121.5609817500,24.9880695340,南港公園管理所,興隆路4段101巷口
21,芳寧公園,121.5632782000,25.0045299530,南港公園管理所,和平東路四段與萬寧街交叉口
182,保儀公園,121.5634689300,24.9835395810,南港公園管理所,木新路3段50巷、70巷內
215,恆光公園,121.5675888100,24.9824104310,南港公園管理所,木新路2段211巷10弄8號前
349,原野運動公園,121.5713729900,24.9971294400,南港公園管理所,萬芳路木柵高工旁
557,博嘉公園,121.5735397300,25.0004501340,南港公園管理所,軍功路47巷55號之8旁
278,景仁公園,121.5401001000,24.9966697690,南港公園管理所,景仁街1巷16號
62,景行公園,121.5427780200,24.9925193790,南港公園管理所,景中街景美國中對面
129,景美公園(原萬慶公園),121.5375976600,24.9940204620,南港公園管理所,文山區育英街45巷旁
710,景美運動公園,121.5445175200,25.0025405880,南港公園管理所,文山區景豐街80號旁
257,景華公園,121.5437927200,24.9951896670,南港公園管理所,文山區景華街55號
275,景福公園,121.5403213500,24.9956798550,南港公園管理所,溪口街36巷內
534,景豐公園,121.5450515700,25.0001297000,南港公園管理所,興隆路1段251號3弄
285,華興公園,121.5504684400,24.9891700740,南港公園管理所,試院路4巷內
654,順興公園綠地,121.5643768300,24.9860897060,南港公園管理所,興隆路四段109巷92弄旁
10,新榮公園,121.5702209500,24.9833297730,南港公園管理所,木新路2段111巷底
753,椰城公園,121.5687027000,25.0063591000,南港公園管理所,和平東路四段101巷6弄21號
82,萬年1號公園,121.5362014800,25.0056991580,南港公園管理所,汀州路4段122至146號對面
778,萬年2號公園,121.5362014800,25.0056991580,南港公園管理所,汀州路4段122至146號對面
495,萬年3號公園,121.5369262700,25.0070400240,南港公園管理所,汀州路4段105巷口
202,萬有1號公園,121.5429534900,24.9998302460,南港公園管理所,興隆路1段202巷
725,萬有2號公園,121.5419006300,25.0007095340,南港公園管理所,景明街11巷6弄8號前
400,萬有3號公園,121.5430984500,24.9987201690,南港公園管理所,景隆街107號前
458,萬和1號公園,121.5363235500,25.0004901890,南港公園管理所,萬隆街1至71號對面
67,萬和2號公園,121.5365371700,25.0014896390,南港公園管理所,萬隆街72至80號對面
350,萬和3號公園,121.5363388100,25.0038108830,南港公園管理所,羅斯福路5段192巷33號至218巷2號對面
580,萬芳10號公園,121.5624923700,25.0016498570,南港公園管理所,文山區萬美街1段121號(往公訓中心方向)
505,萬芳11號公園,121.5630798300,25.0030498500,南港公園管理所,文山區萬美街2段2號
411,萬芳12號公園,121.5635833700,25.0014705660,南港公園管理所,萬利街30巷24至32號對面
438,萬芳13號公園,121.5653991700,25.0017299650,南港公園管理所,萬美街1段與萬樂街口
9,萬芳14號公園,121.5653305100,25.0003204350,南港公園管理所,萬利街33號邊
27,萬芳1號公園,121.5667266800,24.9998607640,南港公園管理所,萬利街4號邊
490,萬芳2號公園,121.5667724600,24.9992008210,南港公園管理所,萬芳路與萬利街口
263,萬芳3號公園,121.5671005200,24.9992504120,南港公園管理所,萬芳路與萬利街口
535,萬芳4號公園,121.5675277700,25.0015392300,南港公園管理所,文山區萬和街1號對面
66,萬芳6號公園,121.5691833500,24.9995002750,南港公園管理所,萬芳路與萬和街口
284,萬芳7號公園,121.5661621100,25.0015792850,南港公園管理所,文山區萬美街1段36號旁
18,萬芳8號公園,121.5604629500,25.0030097960,南港公園管理所,萬芳社區萬美街與興德路之間(公訓處前)
641,萬芳9號公園,121.5614776600,25.0017795560,南港公園管理所,文山區萬美街1段121號旁
463,萬盛公園,121.5410614000,25.0051498410,南港公園管理所,萬盛街130巷口
